avgPktsSize,nAttacks,nDstPorts,nDsts,nFlows,nSYNatt,nSrcPorts,nSrcs,packet_rate,rICMP,rSYN,rSrcDst
8.908045977,117,185,142,261,0,79,111,46.5,0.014623656,0.014623656,0.781690141
4.378125,44,114,284,320,0,87,121,28.02,0.117773019,0.03283369,0.426056338
4.373271889,48,137,149,217,0,93,126,18.98,0.05374078,0.038988409,0.845637584
3.083333333,48,120,236,288,0,82,110,17.76,0.141891892,0.047297297,0.466101695
7.095890411,55,140,164,219,0,92,122,31.08,0.019305019,0.036036036,0.743902439
3.37704918,51,133,241,305,0,85,115,20.6,0.142718447,0.053398058,0.477178423
4.064159292,69,156,384,452,0,311,121,36.74,0.013609145,0.189439303,0.315104167
7.423173804,114,188,276,397,0,90,133,58.94,0.06345436,0.017984391,0.481884058
10.18627451,47,127,150,204,0,88,118,41.56,0.015399423,0.021174206,0.786666667
3.393382353,47,99,216,272,0,57,90,18.46,0.151679307,0.02383532,0.416666667
10.53488372,48,137,154,215,0,95,130,45.3,0.016335541,0.022075055,0.844155844
9.602076125,36,120,239,289,0,93,137,55.5,0.045405405,0.013693694,0.573221757
7.280487805,31,98,144,164,0,83,110,23.88,0.01758794,0.031825796,0.763888889
4.182432432,52,140,236,296,0,82,128,24.76,0.100969305,0.029886914,0.542372881
6.441048035,49,136,168,229,0,105,144,29.5,0.026440678,0.035254237,0.857142857
4.57807309,46,133,248,301,0,86,124,27.56,0.090711176,0.028301887,0.5
6.269035533,55,140,143,197,0,93,111,24.7,0.012145749,0.039676113,0.776223776
8.767088608,159,215,252,395,0,73,111,69.26,0.042159977,0.010106844,0.44047619
7.516949153,102,174,129,236,0,69,104,35.48,0.020856821,0.019729425,0.80620155
4.614457831,21,92,230,249,0,74,97,22.98,0.114882507,0.040034813,0.42173913
11.6988417,107,183,168,259,0,81,122,60.6,0.010231023,0.007260726,0.726190476
5.1,42,108,231,270,0,64,91,27.54,0.097312999,0.02033406,0.393939394
10.68361582,49,109,121,177,0,60,91,37.82,0.020624008,0.008461132,0.752066116
6.348148148,44,106,210,270,0,61,101,34.28,0.083430572,0.02042007,0.480952381
7.021276596,50,120,140,188,0,76,116,26.4,0.034848485,0.029545455,0.828571429
4.263157895,40,142,237,304,0,79,120,25.92,0.097993827,0.027777778,0.506329114
3.325242718,6,98,169,206,0,139,115,13.7,0.037956204,0.18540146,0.680473373
14.17419355,87,148,219,310,0,76,99,87.88,0.027537551,0.006599909,0.452054795
11.80392157,98,162,184,255,0,67,106,60.2,0.02192691,0.007973422,0.576086957
3.878504673,39,114,283,321,0,76,97,24.9,0.16626506,0.035341365,0.342756184
3.27672956,62,133,261,318,0,65,91,20.84,0.153550864,0.027831094,0.348659004
4.482269504,45,117,241,282,0,75,113,25.28,0.109177215,0.03085443,0.468879668
4.720720721,50,130,165,222,0,69,132,20.96,0.053435115,0.029580153,0.8
2.965879265,52,147,235,381,0,80,195,22.6,0.177876106,0.028318584,0.829787234
5.8125,96,209,168,288,0,103,141,33.48,0.025686977,0.028673835,0.839285714
10.57101449,33,112,223,345,0,75,185,72.94,0.055936386,0.010419523,0.829596413
12.70466321,50,122,129,193,0,75,114,49.04,0.015089723,0.016721044,0.88372093
6.575757576,53,109,222,264,0,57,81,34.72,0.073732719,0.014976959,0.364864865
13.91050584,155,211,120,257,0,53,88,71.5,0.009230769,0.007272727,0.733333333
3.923728814,43,89,200,236,0,50,77,18.52,0.145788337,0.029157667,0.385
5.730538922,32,93,144,167,0,77,107,19.14,0.034482759,0.040752351,0.743055556
3.935185185,79,131,244,324,0,65,107,25.5,0.120784314,0.032941176,0.43852459
5.610062893,29,95,117,159,0,65,89,17.84,0.041479821,0.048206278,0.760683761
4.821167883,13,92,217,274,0,89,109,26.42,0.099167298,0.021196064,0.502304147
6.46031746,37,120,129,189,0,88,119,24.42,0.022113022,0.031941032,0.92248062
4.845070423,15,95,253,284,0,92,126,27.52,0.098110465,0.031976744,0.498023715
3.248021108,38,179,255,379,0,189,152,24.62,0.044679123,0.16490658,0.596078431
3.390041494,20,90,218,241,0,84,115,16.34,0.141982864,0.041615667,0.527522936
16.56939502,156,229,136,281,0,69,100,93.12,0.006658076,0.005154639,0.735294118
4.256338028,78,143,271,355,0,100,110,30.22,0.091330245,0.062210457,0.405904059
14.50490196,81,138,137,204,0,75,99,59.18,0.01013856,0.01013856,0.722627737
4.843003413,68,140,216,293,0,67,111,28.38,0.089499648,0.0260747,0.513888889
6.87037037,68,143,148,216,0,65,116,29.68,0.028301887,0.019541779,0.783783784
2.388663968,19,77,217,247,0,46,93,11.8,0.269491525,0.033898305,0.428571429
4.978378378,55,125,135,185,0,66,100,18.42,0.038002172,0.038002172,0.740740741
3.611814346,22,89,208,237,0,66,101,17.12,0.14135514,0.036214953,0.485576923
3.587209302,34,113,139,172,0,69,115,12.34,0.063209076,0.051863857,0.827338129
3.951020408,38,103,209,245,0,58,86,19.36,0.167355372,0.015495868,0.411483254
6.952380952,48,125,127,189,0,78,108,26.28,0.025114155,0.02587519,0.850393701
6.965217391,107,174,243,345,0,78,102,48.06,0.051602164,0.005826051,0.419753086
8.906382979,61,137,168,235,0,81,139,41.86,0.02627807,0.019589107,0.827380952
4.290102389,34,120,246,293,0,74,121,25.14,0.112171838,0.031821798,0.491869919
9.037037037,80,147,130,216,0,61,105,39.04,0.022540984,0.011782787,0.807692308
9.556338028,43,122,245,284,0,80,118,54.28,0.050847458,0.005526898,0.481632653
16.70652174,51,107,128,184,0,76,106,61.48,0.014638907,0.011711126,0.828125
5.40776699,71,137,245,309,0,78,109,33.42,0.074805506,0.024536206,0.444897959
11.57009346,46,136,171,214,0,90,118,49.52,0.014943457,0.018174475,0.69005848
6.933130699,91,170,237,329,0,79,122,45.62,0.060938185,0.015782552,0.514767932
14.83478261,53,128,173,230,0,73,114,68.24,0.019343494,0.008206331,0.658959538
8.297709924,111,200,268,393,0,82,123,65.22,0.047838086,0.007359706,0.458955224
5.44092219,50,136,298,347,0,85,111,37.76,0.092161017,0.021716102,0.372483221
12.50485437,43,117,258,309,0,84,133,77.28,0.038561077,0.009834369,0.515503876
27.09205021,79,148,154,239,0,89,132,129.5,0.007258687,0.004478764,0.857142857
12.9622093,89,134,224,344,0,76,141,89.18,0.033864095,0.005606638,0.629464286
11.21235521,102,169,169,259,0,76,128,58.08,0.015495868,0.006887052,0.75739645
16.01754386,110,165,263,399,0,98,170,127.82,0.027225786,0.007041152,0.646387833
14.00374532,74,157,171,267,0,100,161,74.78,0.012837657,0.008825889,0.941520468
12.85802469,79,166,226,324,0,74,109,83.32,0.040806529,0.005520883,0.482300885
12.94610778,49,101,138,167,0,80,120,43.24,0.013876041,0.01480111,0.869565217
14.63207547,101,169,219,318,0,67,98,93.06,0.026004728,0.004083387,0.447488584
18.99082569,83,149,138,218,0,73,108,82.8,0.009661836,0.007729469,0.782608696
7.61746988,61,131,280,332,0,87,117,50.58,0.062475287,0.013444049,0.417857143
38.2233677,103,196,167,291,0,106,130,222.46,0.002427403,0.003416345,0.778443114
6.994301994,73,159,248,351,0,66,122,49.1,0.063136456,0.006517312,0.491935484
8.192488263,59,150,158,213,0,77,119,34.9,0.015472779,0.006876791,0.753164557
6.757834758,101,164,261,351,0,64,101,47.44,0.062394604,0.006323777,0.38697318
15.35968379,103,193,164,253,0,88,108,77.72,0.005404014,0.009006691,0.658536585
8.006688963,43,145,239,299,0,77,117,47.88,0.04845447,0.011278195,0.489539749
10.64757709,79,160,135,227,0,83,109,48.34,0.013653289,0.018204386,0.807407407
8.351585014,62,148,284,347,0,95,139,57.96,0.0521049,0.017253278,0.48943662
11.84228188,115,206,174,298,0,91,109,70.58,0.016151884,0.009351091,0.626436782
7.242647059,22,93,238,272,0,69,106,39.4,0.076142132,0.015736041,0.445378151
10.55555556,34,127,162,207,0,75,109,43.7,0.01784897,0.014187643,0.672839506
5.261538462,61,150,251,325,0,81,124,34.2,0.080116959,0.015204678,0.494023904
12.04591837,45,131,160,196,0,62,97,47.22,0.015671326,0.010588734,0.60625
3.196581197,25,87,202,234,0,56,90,14.96,0.151069519,0.026737968,0.445544554
5.682403433,85,161,144,233,0,76,117,26.48,0.027190332,0.017371601,0.8125
5.237569061,89,184,265,362,0,77,105,37.92,0.108122363,0.014240506,0.396226415
6.004784689,50,138,152,209,0,72,98,25.1,0.03187251,0.012749004,0.644736842
2.736170213,32,97,201,235,0,59,98,12.86,0.174183515,0.049766719,0.487562189
8.774545455,125,208,142,275,0,74,117,48.26,0.016162453,0.012432656,0.823943662
8.539473684,43,122,245,304,0,67,115,51.92,0.059707242,0.010785824,0.469387755
4.811594203,48,119,165,207,0,63,104,19.92,0.044176707,0.02811245,0.63030303
3.424698795,50,144,281,332,0,74,123,22.74,0.137203166,0.022867194,0.43772242
6.853932584,43,121,130,178,0,69,98,24.4,0.018852459,0.014754098,0.753846154
1.645833333,24,110,254,288,0,73,107,9.48,0.297468354,0.029535865,0.421259843
4.116788321,66,182,182,274,0,111,135,22.56,0.028368794,0.067375887,0.741758242
9.278911565,12,103,249,294,0,64,108,54.56,0.060483871,0.007331378,0.43373494
2.099447514,15,86,152,181,0,61,102,7.6,0.205263158,0.065789474,0.671052632
6.62244898,56,117,233,294,0,56,89,38.94,0.079096045,0.016949153,0.381974249
7.774336283,88,188,346,452,0,97,123,70.28,0.06232214,0.006260672,0.355491329
8.387195122,86,163,251,328,0,78,114,55.02,0.050163577,0.013813159,0.454183267
10.22162162,29,104,139,185,0,75,129,37.82,0.025912216,0.017451084,0.928057554
2.929878049,31,130,233,328,0,80,168,19.22,0.168574402,0.036420395,0.721030043
4.428030303,57,150,175,264,0,77,166,23.38,0.065012831,0.01710864,0.948571429
4,45,106,206,275,0,53,111,22,0.125454545,0.021818182,0.538834951
5.458333333,62,141,142,216,0,66,111,23.58,0.033927057,0.021204411,0.781690141
3.66442953,56,137,247,298,0,67,112,21.84,0.16025641,0.026556777,0.453441296
2.523809524,18,92,117,147,0,66,89,7.42,0.056603774,0.083557951,0.760683761
2.57254902,32,106,209,255,0,54,91,13.12,0.207317073,0.032012195,0.435406699
64.42777778,28,125,141,180,0,80,104,231.94,0.00215573,0.002759334,0.737588652
5.307692308,52,130,250,312,0,76,103,33.12,0.09057971,0.03442029,0.412
8.07826087,94,181,131,230,0,48,98,37.16,0.01722282,0.01022605,0.748091603
2.696864111,48,123,239,287,0,67,107,15.48,0.178294574,0.0374677,0.447698745
6.58649789,59,160,157,237,0,81,118,31.22,0.02434337,0.024983985,0.751592357
9.317518248,42,123,242,274,0,72,100,51.06,0.048178613,0.014492754,0.41322314
3.911764706,39,99,129,170,0,57,100,13.3,0.067669173,0.036090226,0.775193798
4.243506494,68,161,228,308,0,67,97,26.14,0.092578424,0.019127774,0.425438596
2.056603774,14,108,137,159,0,80,101,6.54,0.070336391,0.119266055,0.737226277
2.861356932,41,151,259,339,0,89,116,19.4,0.157731959,0.049484536,0.447876448
3.221052632,19,106,160,190,0,69,96,12.24,0.080065359,0.039215686,0.6
4.83745583,51,141,222,283,0,71,108,27.38,0.089116143,0.017531045,0.486486486
8.06504065,93,170,142,246,0,70,112,39.68,0.019153226,0.018145161,0.788732394
7.423676012,47,155,248,321,0,84,119,47.66,0.052454889,0.014687369,0.47983871
4.539772727,38,127,132,176,0,62,98,15.98,0.036295369,0.032540676,0.742424242
3.781021898,45,119,223,274,0,64,79,20.72,0.112934363,0.02027027,0.35426009
5.483333333,43,119,126,180,0,70,104,19.74,0.029381966,0.015197568,0.825396825
5.020958084,89,174,260,334,0,59,97,33.54,0.076326774,0.008348241,0.373076923
2.739130435,20,84,124,138,0,57,84,7.56,0.082010582,0.066137566,0.677419355
2.169291339,10,106,233,254,0,73,97,11.02,0.226860254,0.059891107,0.416309013
4.85520362,55,135,165,221,0,82,116,21.46,0.027027027,0.031686859,0.703030303
2.434504792,43,129,255,313,0,77,109,15.24,0.186351706,0.039370079,0.42745098
7.703007519,119,178,160,266,0,67,108,40.98,0.023426061,0.007320644,0.675
4.232492997,84,171,258,357,0,77,115,30.22,0.099272005,0.020516214,0.445736434
5.207865169,45,120,146,178,0,68,96,18.54,0.025889968,0.040992449,0.657534247
8.613970588,58,127,214,272,0,63,94,46.86,0.050789586,0.013230901,0.439252336
14.91156463,31,95,116,147,0,68,96,43.84,0.010036496,0.014142336,0.827586207
2.415322581,31,108,218,248,0,70,85,11.98,0.180300501,0.061769616,0.389908257
6.77394636,100,204,155,261,0,67,102,35.36,0.017533937,0.021493213,0.658064516
4.164556962,32,95,218,237,0,66,107,19.74,0.113475177,0.027355623,0.490825688
2.691542289,46,131,356,402,0,76,110,21.64,0.223659889,0.024953789,0.308988764
2.013888889,17,108,257,288,0,82,112,11.6,0.260344828,0.055172414,0.435797665
7.660305344,107,192,149,262,0,78,119,40.14,0.018933732,0.013951171,0.798657718
4.501094092,91,179,294,457,0,105,192,41.14,0.104035002,0.03694701,0.653061224
5.924901186,88,144,157,253,0,100,103,29.98,0.028685791,0.062708472,0.656050955
5.487272727,31,105,220,275,0,65,113,30.18,0.095427435,0.011928429,0.513636364
8.192913386,59,173,173,254,0,96,137,41.62,0.018260452,0.012493993,0.791907514
3.04494382,41,126,225,267,0,61,103,16.26,0.145141451,0.025830258,0.457777778
27.20689655,85,164,152,232,0,73,114,126.24,0.004435995,0.005544994,0.75
4.619354839,64,150,256,310,0,74,109,28.64,0.090083799,0.017458101,0.42578125
3.698717949,33,92,133,156,0,62,100,11.54,0.046793761,0.05372617,0.751879699
3.633522727,56,165,274,352,0,85,117,25.58,0.121970289,0.022673964,0.427007299
3.952662722,50,111,110,169,0,54,87,13.36,0.046407186,0.023952096,0.790909091
6.97689769,74,162,214,303,0,53,90,42.28,0.060075686,0.00756859,0.420560748
5.796875,69,146,121,192,0,61,97,22.26,0.021563342,0.017070979,0.801652893
4.122112211,74,141,239,303,0,67,114,24.98,0.105684548,0.034427542,0.476987448
6.034782609,47,157,148,230,0,73,107,27.76,0.025936599,0.017291066,0.722972973
3.741721854,43,136,255,302,0,75,131,22.6,0.114159292,0.02300885,0.51372549
4.689320388,47,148,147,206,0,59,98,19.32,0.030020704,0.01863354,0.666666667
4.396103896,82,157,226,308,0,71,106,27.08,0.092319055,0.015509601,0.469026549
3.980099502,29,112,161,201,0,72,106,16,0.0675,0.04375,0.658385093
4.70030581,91,178,240,327,0,64,104,30.74,0.080676643,0.01691607,0.433333333
4.282926829,41,142,156,205,0,87,120,17.56,0.029612756,0.031890661,0.769230769
5.637333333,110,211,261,375,0,74,115,42.28,0.061494797,0.00756859,0.440613027
4.525641026,21,100,115,156,0,58,92,14.12,0.04674221,0.02266289,0.8
3.901360544,53,144,225,294,0,64,101,22.94,0.113339146,0.02005231,0.448888889
4.836842105,43,119,135,190,0,64,108,18.38,0.039173014,0.027203482,0.8
4.06440678,49,145,236,295,0,83,120,23.98,0.097581318,0.026688907,0.508474576
4.205555556,46,110,140,180,0,49,84,15.14,0.052840159,0.030383091,0.6
4.296735905,92,166,261,337,0,74,123,28.96,0.091850829,0.03038674,0.471264368
4.782101167,90,171,158,257,0,78,132,24.58,0.036615134,0.017087063,0.835443038
3.553691275,34,108,264,298,0,63,113,21.18,0.149197356,0.03871577,0.428030303
8.953846154,43,129,138,195,0,72,102,34.92,0.018900344,0.019473081,0.739130435
4.594736842,92,189,255,380,0,86,118,34.92,0.086483391,0.017754868,0.462745098
7.322751323,43,126,131,189,0,72,109,27.68,0.022398844,0.025289017,0.832061069
2.814102564,34,126,274,312,0,58,103,17.56,0.182232346,0.034168565,0.375912409
10.18238994,28,92,120,159,0,63,101,32.38,0.023471279,0.018529957,0.841666667
3.860068259,44,145,237,293,0,74,115,22.62,0.110521662,0.028293546,0.485232068
5.110619469,55,156,169,226,0,65,100,23.1,0.041558442,0.031168831,0.591715976
6.094512195,101,170,234,328,0,67,99,39.98,0.069534767,0.022011006,0.423076923
6.295454545,60,145,203,264,0,67,97,33.24,0.052948255,0.01022864,0.477832512
2.274021352,28,99,239,281,0,71,105,12.78,0.23943662,0.040688576,0.439330544
3.840336134,74,162,170,238,0,75,103,18.28,0.054704595,0.047045952,0.605882353
4.836898396,107,179,248,374,0,87,117,36.18,0.077390824,0.017689331,0.471774194
7.057823129,108,210,172,294,0,83,119,41.5,0.01686747,0.020240964,0.691860465
3.132450331,19,93,119,151,0,56,106,9.46,0.084566596,0.054968288,0.890756303
2.680851064,18,102,135,188,0,62,124,10.08,0.128968254,0.049603175,0.918518519
7.52195122,52,145,146,205,0,81,117,30.84,0.017509728,0.018158236,0.801369863
4.910994764,64,137,335,382,0,61,93,37.52,0.118869936,0.01652452,0.27761194
6.510714286,28,124,242,280,0,66,110,36.46,0.065825562,0.013713659,0.454545455
6.677902622,124,196,147,267,0,70,93,35.66,0.016264722,0.012899607,0.632653061
3.926421405,57,128,249,299,0,63,104,23.48,0.128620102,0.028109029,0.417670683
3.172690763,59,165,198,249,0,76,121,15.8,0.058227848,0.041772152,0.611111111
3.189189189,27,109,216,259,0,60,106,16.52,0.159806295,0.031476998,0.490740741
8.136986301,154,224,114,292,0,59,106,47.52,0.017676768,0.014309764,0.929824561
7.353535354,53,130,235,297,0,72,117,43.68,0.058608059,0.008699634,0.49787234
2.98265896,19,110,140,173,0,63,108,10.32,0.079457364,0.062015504,0.771428571
3.675090253,34,105,248,277,0,61,94,20.36,0.151277014,0.02848723,0.379032258
6.031088083,42,126,129,193,0,61,97,23.28,0.027491409,0.026632302,0.751937984
5.255192878,77,152,255,337,0,71,125,35.42,0.083003953,0.015810277,0.490196078
9.68,99,177,150,250,0,55,93,48.4,0.023140496,0.007024793,0.62
3.608187135,54,152,246,342,0,91,125,24.68,0.108589951,0.031604538,0.508130081
4.523584906,34,133,167,212,0,101,139,19.18,0.027111575,0.040667362,0.832335329
3.667883212,62,117,224,274,0,59,94,20.1,0.119402985,0.023880597,0.419642857
17.63028169,109,195,157,284,0,60,111,100.14,0.008388256,0.004194128,0.707006369
6.225490196,85,161,221,306,0,63,86,38.1,0.060892388,0.012598425,0.389140271
2.365168539,23,111,139,178,0,63,114,8.42,0.116389549,0.066508314,0.820143885
2.571906355,47,122,253,299,0,65,118,15.38,0.195058518,0.036410923,0.466403162
5.117346939,41,122,155,196,0,75,105,20.06,0.035892323,0.032901296,0.677419355
4.080128205,60,132,238,312,0,69,113,25.46,0.115475255,0.025137471,0.474789916
6.9030837,39,153,147,227,0,66,119,31.34,0.026164646,0.012763242,0.80952381
3.989247312,97,191,245,372,0,69,115,29.68,0.098382749,0.018867925,0.469387755
4.387283237,43,117,132,173,0,49,85,15.18,0.044795784,0.035573123,0.643939394
3.285714286,50,157,270,336,0,68,112,22.08,0.130434783,0.019021739,0.414814815
4.268456376,29,101,118,149,0,70,98,12.72,0.039308176,0.037735849,0.830508475
6.438554217,169,244,256,415,0,64,101,53.44,0.053143713,0.011976048,0.39453125
5.221052632,31,127,144,190,0,72,114,19.84,0.033266129,0.034274194,0.791666667
13.0292887,18,85,213,239,0,63,92,62.28,0.041425819,0.008028259,0.431924883
3.124423963,34,137,174,217,0,60,99,13.56,0.085545723,0.019174041,0.568965517
3.766153846,45,131,266,325,0,67,116,24.48,0.133986928,0.031862745,0.436090226
3.814371257,37,114,131,167,0,61,91,12.74,0.056514914,0.050235479,0.694656489
4.918256131,113,211,244,367,0,82,120,36.1,0.065373961,0.013850416,0.491803279
11.10638298,54,134,137,188,0,61,100,41.76,0.018199234,0.015804598,0.729927007
2.445255474,46,121,237,274,0,84,99,13.4,0.158208955,0.049253731,0.417721519
5.383886256,50,146,146,211,0,86,122,22.72,0.020246479,0.029929577,0.835616438
5.965789474,142,222,231,380,0,72,98,45.34,0.051610057,0.010586678,0.424242424
4.5,32,143,152,206,0,72,94,18.54,0.021574973,0.03236246,0.618421053
2.715686275,34,135,262,306,0,80,113,16.62,0.161251504,0.039711191,0.43129771
4.696078431,63,134,154,204,0,77,111,19.16,0.024008351,0.026096033,0.720779221
3.423611111,45,141,239,288,0,72,113,19.72,0.121703854,0.028397566,0.472803347
7.538461538,65,130,114,182,0,44,88,27.44,0.026239067,0.011661808,0.771929825
4.37694704,71,147,241,321,0,63,105,28.1,0.103202847,0.017081851,0.435684647
4.532319392,67,155,195,263,0,88,122,23.84,0.052852349,0.02852349,0.625641026
4.098305085,49,117,248,295,0,61,100,24.18,0.124896609,0.022332506,0.403225806
8.010204082,48,135,132,196,0,69,103,31.4,0.021656051,0.012738854,0.78030303
5.134285714,104,184,229,350,0,69,104,35.94,0.067334446,0.014468559,0.454148472
22.59591837,80,167,151,245,0,67,118,110.72,0.009031792,0.002528902,0.781456954
1.906504065,30,96,210,246,0,61,99,9.38,0.255863539,0.046908316,0.471428571
3.680473373,25,110,143,169,0,61,107,12.44,0.056270096,0.048231511,0.748251748
4.125373134,82,178,243,335,0,78,119,27.64,0.087554269,0.010130246,0.489711934
6.04048583,58,154,174,247,0,68,111,29.84,0.038203753,0.021447721,0.637931034
2.424561404,19,111,218,285,0,106,118,13.82,0.170767004,0.033285094,0.541284404
7.97761194,103,188,148,268,0,82,123,42.76,0.018241347,0.012160898,0.831081081
3.035087719,46,126,243,285,0,50,85,17.3,0.166473988,0.027745665,0.349794239
4.995412844,71,161,138,218,0,61,106,21.78,0.027548209,0.022956841,0.768115942
2.850174216,44,120,242,287,0,66,108,16.36,0.172371638,0.039119804,0.446280992
7.524752475,152,220,151,303,0,80,116,45.6,0.015350877,0.017105263,0.768211921
2.465986395,27,99,267,294,0,95,109,14.5,0.180689655,0.125517241,0.4082397
4.702702703,47,110,154,185,0,81,79,17.4,0.029885057,0.088505747,0.512987013
6.535211268,30,102,235,284,0,76,110,37.12,0.080818966,0.021012931,0.468085106
7.09009009,65,151,161,222,0,84,124,31.48,0.022871665,0.015247776,0.770186335
4.039634146,67,148,254,328,0,76,115,26.5,0.107924528,0.022641509,0.452755906
6.994897959,48,136,149,196,0,72,111,27.42,0.026258206,0.028446389,0.744966443
7.293785311,93,180,253,354,0,76,121,51.64,0.05577072,0.012006197,0.47826087
4.426724138,49,126,173,232,0,90,117,20.54,0.039922103,0.029211295,0.676300578
13.15972222,65,127,227,288,0,64,105,75.8,0.033773087,0.006068602,0.462555066
17.67592593,88,145,132,216,0,70,112,76.36,0.009690938,0.0075956,0.848484848
9.522277228,137,220,248,404,0,102,127,76.94,0.030673252,0.013517026,0.512096774
6.103448276,40,99,164,203,0,73,117,24.78,0.053268765,0.014527845,0.713414634
8.158415842,39,124,252,303,0,67,122,49.44,0.055016181,0.012944984,0.484126984
22.75773196,68,139,128,194,0,69,101,88.3,0.005436014,0.004303511,0.7890625
18.18518519,47,153,259,297,0,89,122,108.02,0.021107202,0.003888169,0.471042471
7.033175355,51,137,153,211,0,73,106,29.68,0.020215633,0.016172507,0.692810458
19.98119122,114,150,237,319,0,61,99,127.48,0.018355821,0.002510198,0.417721519
16.69953052,50,138,149,213,0,89,133,71.14,0.009277481,0.007028395,0.89261745
10.66304348,99,201,262,368,0,107,116,78.48,0.029561672,0.013506626,0.442748092
12.33617021,73,150,148,235,0,79,136,57.98,0.017592273,0.00793377,0.918918919
12.41432225,132,210,281,391,0,92,132,97.08,0.02513391,0.005150391,0.46975089
17.26737968,45,121,149,187,0,82,114,64.58,0.008981109,0.008052028,0.765100671
8.233576642,55,124,251,274,0,76,94,45.12,0.046985816,0.011968085,0.374501992
16.39719626,62,149,152,214,0,70,112,70.18,0.008264463,0.00968937,0.736842105
23.73902439,121,226,292,410,0,81,137,194.66,0.016027946,0.002671324,0.469178082
16.62798635,107,176,210,293,0,84,137,97.44,0.013341544,0.003899836,0.652380952
24.00589971,107,160,256,339,0,81,107,162.76,0.015237159,0.003440649,0.41796875
18.68983957,75,129,121,187,0,66,94,69.9,0.008869814,0.008011445,0.776859504
10.06896552,75,132,277,348,0,87,131,70.08,0.047659817,0.006278539,0.472924188
10.60893855,67,124,127,179,0,61,76,37.98,0.010005266,0.007372301,0.598425197
14.47249191,106,169,214,309,0,66,98,89.44,0.025044723,0.003577818,0.457943925
10.82591093,88,173,165,247,0,85,123,53.48,0.010845176,0.010471204,0.745454545
25.56862745,28,120,262,306,0,81,124,156.48,0.018149284,0.002556237,0.473282443
8.674698795,43,101,122,166,0,60,98,28.8,0.021527778,0.011805556,0.803278689
