hourly_counts,date_time,year,month,month_day,week_day,hour,sensor_id,sensor_name
13,02/01/2016 05:00,2016,January,2,Saturday,5,2,Bourke Street Mall (South)
33,02/01/2016 06:00,2016,January,2,Saturday,6,2,Bourke Street Mall (South)
52,02/01/2016 07:00,2016,January,2,Saturday,7,2,Bourke Street Mall (South)
203,02/01/2016 08:00,2016,January,2,Saturday,8,2,Bourke Street Mall (South)
503,02/01/2016 09:00,2016,January,2,Saturday,9,2,Bourke Street Mall (South)
1160,02/01/2016 10:00,2016,January,2,Saturday,10,2,Bourke Street Mall (South)
2099,02/01/2016 11:00,2016,January,2,Saturday,11,2,Bourke Street Mall (South)
2798,02/01/2016 12:00,2016,January,2,Saturday,12,2,Bourke Street Mall (South)
3164,02/01/2016 13:00,2016,January,2,Saturday,13,2,Bourke Street Mall (South)
3551,02/01/2016 14:00,2016,January,2,Saturday,14,2,Bourke Street Mall (South)
3725,02/01/2016 15:00,2016,January,2,Saturday,15,2,Bourke Street Mall (South)
3465,02/01/2016 16:00,2016,January,2,Saturday,16,2,Bourke Street Mall (South)
2613,02/01/2016 17:00,2016,January,2,Saturday,17,2,Bourke Street Mall (South)
1732,02/01/2016 18:00,2016,January,2,Saturday,18,2,Bourke Street Mall (South)
895,02/01/2016 19:00,2016,January,2,Saturday,19,2,Bourke Street Mall (South)
581,02/01/2016 20:00,2016,January,2,Saturday,20,2,Bourke Street Mall (South)
446,02/01/2016 21:00,2016,January,2,Saturday,21,2,Bourke Street Mall (South)
378,02/01/2016 22:00,2016,January,2,Saturday,22,2,Bourke Street Mall (South)
248,02/01/2016 23:00,2016,January,2,Saturday,23,2,Bourke Street Mall (South)
168,03/01/2016 00:00,2016,January,3,Sunday,0,2,Bourke Street Mall (South)
110,03/01/2016 01:00,2016,January,3,Sunday,1,2,Bourke Street Mall (South)
67,03/01/2016 02:00,2016,January,3,Sunday,2,2,Bourke Street Mall (South)
114,03/01/2016 03:00,2016,January,3,Sunday,3,2,Bourke Street Mall (South)
30,03/01/2016 04:00,2016,January,3,Sunday,4,2,Bourke Street Mall (South)
25,03/01/2016 05:00,2016,January,3,Sunday,5,2,Bourke Street Mall (South)
33,03/01/2016 06:00,2016,January,3,Sunday,6,2,Bourke Street Mall (South)
74,03/01/2016 07:00,2016,January,3,Sunday,7,2,Bourke Street Mall (South)
104,03/01/2016 08:00,2016,January,3,Sunday,8,2,Bourke Street Mall (South)
473,03/01/2016 09:00,2016,January,3,Sunday,9,2,Bourke Street Mall (South)
1107,03/01/2016 10:00,2016,January,3,Sunday,10,2,Bourke Street Mall (South)
1898,03/01/2016 11:00,2016,January,3,Sunday,11,2,Bourke Street Mall (South)
2326,03/01/2016 12:00,2016,January,3,Sunday,12,2,Bourke Street Mall (South)
2761,03/01/2016 13:00,2016,January,3,Sunday,13,2,Bourke Street Mall (South)
3128,03/01/2016 14:00,2016,January,3,Sunday,14,2,Bourke Street Mall (South)
3114,03/01/2016 15:00,2016,January,3,Sunday,15,2,Bourke Street Mall (South)
2945,03/01/2016 16:00,2016,January,3,Sunday,16,2,Bourke Street Mall (South)
2133,03/01/2016 17:00,2016,January,3,Sunday,17,2,Bourke Street Mall (South)
1286,03/01/2016 18:00,2016,January,3,Sunday,18,2,Bourke Street Mall (South)
640,03/01/2016 19:00,2016,January,3,Sunday,19,2,Bourke Street Mall (South)
465,03/01/2016 20:00,2016,January,3,Sunday,20,2,Bourke Street Mall (South)
370,03/01/2016 21:00,2016,January,3,Sunday,21,2,Bourke Street Mall (South)
170,03/01/2016 22:00,2016,January,3,Sunday,22,2,Bourke Street Mall (South)
133,03/01/2016 23:00,2016,January,3,Sunday,23,2,Bourke Street Mall (South)
96,04/01/2016 00:00,2016,January,4,Monday,0,2,Bourke Street Mall (South)
35,04/01/2016 01:00,2016,January,4,Monday,1,2,Bourke Street Mall (South)
25,04/01/2016 02:00,2016,January,4,Monday,2,2,Bourke Street Mall (South)
8,04/01/2016 03:00,2016,January,4,Monday,3,2,Bourke Street Mall (South)
21,04/01/2016 04:00,2016,January,4,Monday,4,2,Bourke Street Mall (South)
24,04/01/2016 05:00,2016,January,4,Monday,5,2,Bourke Street Mall (South)
60,04/01/2016 06:00,2016,January,4,Monday,6,2,Bourke Street Mall (South)
203,04/01/2016 07:00,2016,January,4,Monday,7,2,Bourke Street Mall (South)
437,04/01/2016 08:00,2016,January,4,Monday,8,2,Bourke Street Mall (South)
688,04/01/2016 09:00,2016,January,4,Monday,9,2,Bourke Street Mall (South)
1285,04/01/2016 10:00,2016,January,4,Monday,10,2,Bourke Street Mall (South)
2114,04/01/2016 11:00,2016,January,4,Monday,11,2,Bourke Street Mall (South)
3662,04/01/2016 12:00,2016,January,4,Monday,12,2,Bourke Street Mall (South)
3844,04/01/2016 13:00,2016,January,4,Monday,13,2,Bourke Street Mall (South)
3602,04/01/2016 14:00,2016,January,4,Monday,14,2,Bourke Street Mall (South)
3259,04/01/2016 15:00,2016,January,4,Monday,15,2,Bourke Street Mall (South)
3008,04/01/2016 16:00,2016,January,4,Monday,16,2,Bourke Street Mall (South)
2645,04/01/2016 17:00,2016,January,4,Monday,17,2,Bourke Street Mall (South)
1740,04/01/2016 18:00,2016,January,4,Monday,18,2,Bourke Street Mall (South)
770,04/01/2016 19:00,2016,January,4,Monday,19,2,Bourke Street Mall (South)
411,04/01/2016 20:00,2016,January,4,Monday,20,2,Bourke Street Mall (South)
310,04/01/2016 21:00,2016,January,4,Monday,21,2,Bourke Street Mall (South)
197,04/01/2016 22:00,2016,January,4,Monday,22,2,Bourke Street Mall (South)
119,04/01/2016 23:00,2016,January,4,Monday,23,2,Bourke Street Mall (South)
49,05/01/2016 00:00,2016,January,5,Tuesday,0,2,Bourke Street Mall (South)
36,05/01/2016 01:00,2016,January,5,Tuesday,1,2,Bourke Street Mall (South)
19,05/01/2016 02:00,2016,January,5,Tuesday,2,2,Bourke Street Mall (South)
15,05/01/2016 03:00,2016,January,5,Tuesday,3,2,Bourke Street Mall (South)
23,05/01/2016 04:00,2016,January,5,Tuesday,4,2,Bourke Street Mall (South)
21,05/01/2016 05:00,2016,January,5,Tuesday,5,2,Bourke Street Mall (South)
102,05/01/2016 06:00,2016,January,5,Tuesday,6,2,Bourke Street Mall (South)
218,05/01/2016 07:00,2016,January,5,Tuesday,7,2,Bourke Street Mall (South)
536,05/01/2016 08:00,2016,January,5,Tuesday,8,2,Bourke Street Mall (South)
745,05/01/2016 09:00,2016,January,5,Tuesday,9,2,Bourke Street Mall (South)
1413,05/01/2016 10:00,2016,January,5,Tuesday,10,2,Bourke Street Mall (South)
2168,05/01/2016 11:00,2016,January,5,Tuesday,11,2,Bourke Street Mall (South)
3590,05/01/2016 12:00,2016,January,5,Tuesday,12,2,Bourke Street Mall (South)
3849,05/01/2016 13:00,2016,January,5,Tuesday,13,2,Bourke Street Mall (South)
3354,05/01/2016 14:00,2016,January,5,Tuesday,14,2,Bourke Street Mall (South)
3085,05/01/2016 15:00,2016,January,5,Tuesday,15,2,Bourke Street Mall (South)
2911,05/01/2016 16:00,2016,January,5,Tuesday,16,2,Bourke Street Mall (South)
2683,05/01/2016 17:00,2016,January,5,Tuesday,17,2,Bourke Street Mall (South)
1628,05/01/2016 18:00,2016,January,5,Tuesday,18,2,Bourke Street Mall (South)
903,05/01/2016 19:00,2016,January,5,Tuesday,19,2,Bourke Street Mall (South)
537,05/01/2016 20:00,2016,January,5,Tuesday,20,2,Bourke Street Mall (South)
386,05/01/2016 21:00,2016,January,5,Tuesday,21,2,Bourke Street Mall (South)
248,05/01/2016 22:00,2016,January,5,Tuesday,22,2,Bourke Street Mall (South)
164,05/01/2016 23:00,2016,January,5,Tuesday,23,2,Bourke Street Mall (South)
82,06/01/2016 00:00,2016,January,6,Wednesday,0,2,Bourke Street Mall (South)
40,06/01/2016 01:00,2016,January,6,Wednesday,1,2,Bourke Street Mall (South)
31,06/01/2016 02:00,2016,January,6,Wednesday,2,2,Bourke Street Mall (South)
9,06/01/2016 03:00,2016,January,6,Wednesday,3,2,Bourke Street Mall (South)
40,06/01/2016 04:00,2016,January,6,Wednesday,4,2,Bourke Street Mall (South)
25,06/01/2016 05:00,2016,January,6,Wednesday,5,2,Bourke Street Mall (South)
69,06/01/2016 06:00,2016,January,6,Wednesday,6,2,Bourke Street Mall (South)
151,06/01/2016 07:00,2016,January,6,Wednesday,7,2,Bourke Street Mall (South)
455,06/01/2016 08:00,2016,January,6,Wednesday,8,2,Bourke Street Mall (South)
720,06/01/2016 09:00,2016,January,6,Wednesday,9,2,Bourke Street Mall (South)
1313,06/01/2016 10:00,2016,January,6,Wednesday,10,2,Bourke Street Mall (South)
2357,06/01/2016 11:00,2016,January,6,Wednesday,11,2,Bourke Street Mall (South)
3674,06/01/2016 12:00,2016,January,6,Wednesday,12,2,Bourke Street Mall (South)
3982,06/01/2016 13:00,2016,January,6,Wednesday,13,2,Bourke Street Mall (South)
3426,06/01/2016 14:00,2016,January,6,Wednesday,14,2,Bourke Street Mall (South)
3086,06/01/2016 15:00,2016,January,6,Wednesday,15,2,Bourke Street Mall (South)
3119,06/01/2016 16:00,2016,January,6,Wednesday,16,2,Bourke Street Mall (South)
2675,06/01/2016 17:00,2016,January,6,Wednesday,17,2,Bourke Street Mall (South)
1787,06/01/2016 18:00,2016,January,6,Wednesday,18,2,Bourke Street Mall (South)
831,06/01/2016 19:00,2016,January,6,Wednesday,19,2,Bourke Street Mall (South)
528,06/01/2016 20:00,2016,January,6,Wednesday,20,2,Bourke Street Mall (South)
333,06/01/2016 21:00,2016,January,6,Wednesday,21,2,Bourke Street Mall (South)
265,06/01/2016 22:00,2016,January,6,Wednesday,22,2,Bourke Street Mall (South)
186,06/01/2016 23:00,2016,January,6,Wednesday,23,2,Bourke Street Mall (South)
52,07/01/2016 00:00,2016,January,7,Thursday,0,2,Bourke Street Mall (South)
53,07/01/2016 01:00,2016,January,7,Thursday,1,2,Bourke Street Mall (South)
37,07/01/2016 02:00,2016,January,7,Thursday,2,2,Bourke Street Mall (South)
17,07/01/2016 03:00,2016,January,7,Thursday,3,2,Bourke Street Mall (South)
24,07/01/2016 04:00,2016,January,7,Thursday,4,2,Bourke Street Mall (South)
16,07/01/2016 05:00,2016,January,7,Thursday,5,2,Bourke Street Mall (South)
54,07/01/2016 06:00,2016,January,7,Thursday,6,2,Bourke Street Mall (South)
189,07/01/2016 07:00,2016,January,7,Thursday,7,2,Bourke Street Mall (South)
462,07/01/2016 08:00,2016,January,7,Thursday,8,2,Bourke Street Mall (South)
754,07/01/2016 09:00,2016,January,7,Thursday,9,2,Bourke Street Mall (South)
1505,07/01/2016 10:00,2016,January,7,Thursday,10,2,Bourke Street Mall (South)
2175,07/01/2016 11:00,2016,January,7,Thursday,11,2,Bourke Street Mall (South)
3439,07/01/2016 12:00,2016,January,7,Thursday,12,2,Bourke Street Mall (South)
3807,07/01/2016 13:00,2016,January,7,Thursday,13,2,Bourke Street Mall (South)
3282,07/01/2016 14:00,2016,January,7,Thursday,14,2,Bourke Street Mall (South)
3254,07/01/2016 15:00,2016,January,7,Thursday,15,2,Bourke Street Mall (South)
3101,07/01/2016 16:00,2016,January,7,Thursday,16,2,Bourke Street Mall (South)
2765,07/01/2016 17:00,2016,January,7,Thursday,17,2,Bourke Street Mall (South)
1921,07/01/2016 18:00,2016,January,7,Thursday,18,2,Bourke Street Mall (South)
1226,07/01/2016 19:00,2016,January,7,Thursday,19,2,Bourke Street Mall (South)
931,07/01/2016 20:00,2016,January,7,Thursday,20,2,Bourke Street Mall (South)
389,07/01/2016 21:00,2016,January,7,Thursday,21,2,Bourke Street Mall (South)
262,07/01/2016 22:00,2016,January,7,Thursday,22,2,Bourke Street Mall (South)
141,07/01/2016 23:00,2016,January,7,Thursday,23,2,Bourke Street Mall (South)
79,08/01/2016 00:00,2016,January,8,Friday,0,2,Bourke Street Mall (South)
55,08/01/2016 01:00,2016,January,8,Friday,1,2,Bourke Street Mall (South)
32,08/01/2016 02:00,2016,January,8,Friday,2,2,Bourke Street Mall (South)
17,08/01/2016 03:00,2016,January,8,Friday,3,2,Bourke Street Mall (South)
42,08/01/2016 04:00,2016,January,8,Friday,4,2,Bourke Street Mall (South)
21,08/01/2016 05:00,2016,January,8,Friday,5,2,Bourke Street Mall (South)
62,08/01/2016 06:00,2016,January,8,Friday,6,2,Bourke Street Mall (South)
183,08/01/2016 07:00,2016,January,8,Friday,7,2,Bourke Street Mall (South)
465,08/01/2016 08:00,2016,January,8,Friday,8,2,Bourke Street Mall (South)
708,08/01/2016 09:00,2016,January,8,Friday,9,2,Bourke Street Mall (South)
1197,08/01/2016 10:00,2016,January,8,Friday,10,2,Bourke Street Mall (South)
2153,08/01/2016 11:00,2016,January,8,Friday,11,2,Bourke Street Mall (South)
3400,08/01/2016 12:00,2016,January,8,Friday,12,2,Bourke Street Mall (South)
3864,08/01/2016 13:00,2016,January,8,Friday,13,2,Bourke Street Mall (South)
3333,08/01/2016 14:00,2016,January,8,Friday,14,2,Bourke Street Mall (South)
3281,08/01/2016 15:00,2016,January,8,Friday,15,2,Bourke Street Mall (South)
3074,08/01/2016 16:00,2016,January,8,Friday,16,2,Bourke Street Mall (South)
3072,08/01/2016 17:00,2016,January,8,Friday,17,2,Bourke Street Mall (South)
2219,08/01/2016 18:00,2016,January,8,Friday,18,2,Bourke Street Mall (South)
1598,08/01/2016 19:00,2016,January,8,Friday,19,2,Bourke Street Mall (South)
1259,08/01/2016 20:00,2016,January,8,Friday,20,2,Bourke Street Mall (South)
647,08/01/2016 21:00,2016,January,8,Friday,21,2,Bourke Street Mall (South)
341,08/01/2016 22:00,2016,January,8,Friday,22,2,Bourke Street Mall (South)
239,08/01/2016 23:00,2016,January,8,Friday,23,2,Bourke Street Mall (South)
151,09/01/2016 00:00,2016,January,9,Saturday,0,2,Bourke Street Mall (South)
93,09/01/2016 01:00,2016,January,9,Saturday,1,2,Bourke Street Mall (South)
65,09/01/2016 02:00,2016,January,9,Saturday,2,2,Bourke Street Mall (South)
67,09/01/2016 03:00,2016,January,9,Saturday,3,2,Bourke Street Mall (South)
38,09/01/2016 04:00,2016,January,9,Saturday,4,2,Bourke Street Mall (South)
19,09/01/2016 05:00,2016,January,9,Saturday,5,2,Bourke Street Mall (South)
37,09/01/2016 06:00,2016,January,9,Saturday,6,2,Bourke Street Mall (South)
92,09/01/2016 07:00,2016,January,9,Saturday,7,2,Bourke Street Mall (South)
175,09/01/2016 08:00,2016,January,9,Saturday,8,2,Bourke Street Mall (South)
544,09/01/2016 09:00,2016,January,9,Saturday,9,2,Bourke Street Mall (South)
1039,09/01/2016 10:00,2016,January,9,Saturday,10,2,Bourke Street Mall (South)
1834,09/01/2016 11:00,2016,January,9,Saturday,11,2,Bourke Street Mall (South)
2382,09/01/2016 12:00,2016,January,9,Saturday,12,2,Bourke Street Mall (South)
2842,09/01/2016 13:00,2016,January,9,Saturday,13,2,Bourke Street Mall (South)
3210,09/01/2016 14:00,2016,January,9,Saturday,14,2,Bourke Street Mall (South)
3291,09/01/2016 15:00,2016,January,9,Saturday,15,2,Bourke Street Mall (South)
3194,09/01/2016 16:00,2016,January,9,Saturday,16,2,Bourke Street Mall (South)
2532,09/01/2016 17:00,2016,January,9,Saturday,17,2,Bourke Street Mall (South)
1796,09/01/2016 18:00,2016,January,9,Saturday,18,2,Bourke Street Mall (South)
855,09/01/2016 19:00,2016,January,9,Saturday,19,2,Bourke Street Mall (South)
453,09/01/2016 20:00,2016,January,9,Saturday,20,2,Bourke Street Mall (South)
450,09/01/2016 21:00,2016,January,9,Saturday,21,2,Bourke Street Mall (South)
388,09/01/2016 22:00,2016,January,9,Saturday,22,2,Bourke Street Mall (South)
350,09/01/2016 23:00,2016,January,9,Saturday,23,2,Bourke Street Mall (South)
171,10/01/2016 00:00,2016,January,10,Sunday,0,2,Bourke Street Mall (South)
177,10/01/2016 01:00,2016,January,10,Sunday,1,2,Bourke Street Mall (South)
107,10/01/2016 02:00,2016,January,10,Sunday,2,2,Bourke Street Mall (South)
99,10/01/2016 03:00,2016,January,10,Sunday,3,2,Bourke Street Mall (South)
56,10/01/2016 04:00,2016,January,10,Sunday,4,2,Bourke Street Mall (South)
48,10/01/2016 05:00,2016,January,10,Sunday,5,2,Bourke Street Mall (South)
29,10/01/2016 06:00,2016,January,10,Sunday,6,2,Bourke Street Mall (South)
56,10/01/2016 07:00,2016,January,10,Sunday,7,2,Bourke Street Mall (South)
124,10/01/2016 08:00,2016,January,10,Sunday,8,2,Bourke Street Mall (South)
384,10/01/2016 09:00,2016,January,10,Sunday,9,2,Bourke Street Mall (South)
1007,10/01/2016 10:00,2016,January,10,Sunday,10,2,Bourke Street Mall (South)
1620,10/01/2016 11:00,2016,January,10,Sunday,11,2,Bourke Street Mall (South)
2037,10/01/2016 12:00,2016,January,10,Sunday,12,2,Bourke Street Mall (South)
2155,10/01/2016 13:00,2016,January,10,Sunday,13,2,Bourke Street Mall (South)
2332,10/01/2016 14:00,2016,January,10,Sunday,14,2,Bourke Street Mall (South)
2442,10/01/2016 15:00,2016,January,10,Sunday,15,2,Bourke Street Mall (South)
2114,10/01/2016 16:00,2016,January,10,Sunday,16,2,Bourke Street Mall (South)
1590,10/01/2016 17:00,2016,January,10,Sunday,17,2,Bourke Street Mall (South)
986,10/01/2016 18:00,2016,January,10,Sunday,18,2,Bourke Street Mall (South)
548,10/01/2016 19:00,2016,January,10,Sunday,19,2,Bourke Street Mall (South)
389,10/01/2016 20:00,2016,January,10,Sunday,20,2,Bourke Street Mall (South)
295,10/01/2016 21:00,2016,January,10,Sunday,21,2,Bourke Street Mall (South)
172,10/01/2016 22:00,2016,January,10,Sunday,22,2,Bourke Street Mall (South)
81,10/01/2016 23:00,2016,January,10,Sunday,23,2,Bourke Street Mall (South)
77,11/01/2016 00:00,2016,January,11,Monday,0,2,Bourke Street Mall (South)
34,11/01/2016 01:00,2016,January,11,Monday,1,2,Bourke Street Mall (South)
15,11/01/2016 02:00,2016,January,11,Monday,2,2,Bourke Street Mall (South)
15,11/01/2016 03:00,2016,January,11,Monday,3,2,Bourke Street Mall (South)
15,11/01/2016 04:00,2016,January,11,Monday,4,2,Bourke Street Mall (South)
28,11/01/2016 05:00,2016,January,11,Monday,5,2,Bourke Street Mall (South)
92,11/01/2016 06:00,2016,January,11,Monday,6,2,Bourke Street Mall (South)
212,11/01/2016 07:00,2016,January,11,Monday,7,2,Bourke Street Mall (South)
576,11/01/2016 08:00,2016,January,11,Monday,8,2,Bourke Street Mall (South)
795,11/01/2016 09:00,2016,January,11,Monday,9,2,Bourke Street Mall (South)
1217,11/01/2016 10:00,2016,January,11,Monday,10,2,Bourke Street Mall (South)
1885,11/01/2016 11:00,2016,January,11,Monday,11,2,Bourke Street Mall (South)
3228,11/01/2016 12:00,2016,January,11,Monday,12,2,Bourke Street Mall (South)
3386,11/01/2016 13:00,2016,January,11,Monday,13,2,Bourke Street Mall (South)
2520,11/01/2016 14:00,2016,January,11,Monday,14,2,Bourke Street Mall (South)
2384,11/01/2016 15:00,2016,January,11,Monday,15,2,Bourke Street Mall (South)
2062,11/01/2016 16:00,2016,January,11,Monday,16,2,Bourke Street Mall (South)
2052,11/01/2016 17:00,2016,January,11,Monday,17,2,Bourke Street Mall (South)
1284,11/01/2016 18:00,2016,January,11,Monday,18,2,Bourke Street Mall (South)
547,11/01/2016 19:00,2016,January,11,Monday,19,2,Bourke Street Mall (South)
345,11/01/2016 20:00,2016,January,11,Monday,20,2,Bourke Street Mall (South)
254,11/01/2016 21:00,2016,January,11,Monday,21,2,Bourke Street Mall (South)
146,11/01/2016 22:00,2016,January,11,Monday,22,2,Bourke Street Mall (South)
84,11/01/2016 23:00,2016,January,11,Monday,23,2,Bourke Street Mall (South)
52,12/01/2016 00:00,2016,January,12,Tuesday,0,2,Bourke Street Mall (South)
35,12/01/2016 01:00,2016,January,12,Tuesday,1,2,Bourke Street Mall (South)
16,12/01/2016 02:00,2016,January,12,Tuesday,2,2,Bourke Street Mall (South)
5,12/01/2016 03:00,2016,January,12,Tuesday,3,2,Bourke Street Mall (South)
20,12/01/2016 04:00,2016,January,12,Tuesday,4,2,Bourke Street Mall (South)
23,12/01/2016 05:00,2016,January,12,Tuesday,5,2,Bourke Street Mall (South)
102,12/01/2016 06:00,2016,January,12,Tuesday,6,2,Bourke Street Mall (South)
219,12/01/2016 07:00,2016,January,12,Tuesday,7,2,Bourke Street Mall (South)
608,12/01/2016 08:00,2016,January,12,Tuesday,8,2,Bourke Street Mall (South)
718,12/01/2016 09:00,2016,January,12,Tuesday,9,2,Bourke Street Mall (South)
1234,12/01/2016 10:00,2016,January,12,Tuesday,10,2,Bourke Street Mall (South)
1887,12/01/2016 11:00,2016,January,12,Tuesday,11,2,Bourke Street Mall (South)
3311,12/01/2016 12:00,2016,January,12,Tuesday,12,2,Bourke Street Mall (South)
3806,12/01/2016 13:00,2016,January,12,Tuesday,13,2,Bourke Street Mall (South)
2866,12/01/2016 14:00,2016,January,12,Tuesday,14,2,Bourke Street Mall (South)
2592,12/01/2016 15:00,2016,January,12,Tuesday,15,2,Bourke Street Mall (South)
2548,12/01/2016 16:00,2016,January,12,Tuesday,16,2,Bourke Street Mall (South)
2301,12/01/2016 17:00,2016,January,12,Tuesday,17,2,Bourke Street Mall (South)
1498,12/01/2016 18:00,2016,January,12,Tuesday,18,2,Bourke Street Mall (South)
708,12/01/2016 19:00,2016,January,12,Tuesday,19,2,Bourke Street Mall (South)
478,12/01/2016 20:00,2016,January,12,Tuesday,20,2,Bourke Street Mall (South)
289,12/01/2016 21:00,2016,January,12,Tuesday,21,2,Bourke Street Mall (South)
202,12/01/2016 22:00,2016,January,12,Tuesday,22,2,Bourke Street Mall (South)
97,12/01/2016 23:00,2016,January,12,Tuesday,23,2,Bourke Street Mall (South)
76,13/01/2016 00:00,2016,January,13,Wednesday,0,2,Bourke Street Mall (South)
23,13/01/2016 01:00,2016,January,13,Wednesday,1,2,Bourke Street Mall (South)
16,13/01/2016 02:00,2016,January,13,Wednesday,2,2,Bourke Street Mall (South)
12,13/01/2016 03:00,2016,January,13,Wednesday,3,2,Bourke Street Mall (South)
14,13/01/2016 04:00,2016,January,13,Wednesday,4,2,Bourke Street Mall (South)
25,13/01/2016 05:00,2016,January,13,Wednesday,5,2,Bourke Street Mall (South)
73,13/01/2016 06:00,2016,January,13,Wednesday,6,2,Bourke Street Mall (South)
208,13/01/2016 07:00,2016,January,13,Wednesday,7,2,Bourke Street Mall (South)
626,13/01/2016 08:00,2016,January,13,Wednesday,8,2,Bourke Street Mall (South)
824,13/01/2016 09:00,2016,January,13,Wednesday,9,2,Bourke Street Mall (South)
1222,13/01/2016 10:00,2016,January,13,Wednesday,10,2,Bourke Street Mall (South)
1686,13/01/2016 11:00,2016,January,13,Wednesday,11,2,Bourke Street Mall (South)
2559,13/01/2016 12:00,2016,January,13,Wednesday,12,2,Bourke Street Mall (South)
2657,13/01/2016 13:00,2016,January,13,Wednesday,13,2,Bourke Street Mall (South)
1948,13/01/2016 14:00,2016,January,13,Wednesday,14,2,Bourke Street Mall (South)
1640,13/01/2016 15:00,2016,January,13,Wednesday,15,2,Bourke Street Mall (South)
1700,13/01/2016 16:00,2016,January,13,Wednesday,16,2,Bourke Street Mall (South)
1688,13/01/2016 17:00,2016,January,13,Wednesday,17,2,Bourke Street Mall (South)
1278,13/01/2016 18:00,2016,January,13,Wednesday,18,2,Bourke Street Mall (South)
546,13/01/2016 19:00,2016,January,13,Wednesday,19,2,Bourke Street Mall (South)
353,13/01/2016 20:00,2016,January,13,Wednesday,20,2,Bourke Street Mall (South)
318,13/01/2016 21:00,2016,January,13,Wednesday,21,2,Bourke Street Mall (South)
178,13/01/2016 22:00,2016,January,13,Wednesday,22,2,Bourke Street Mall (South)
130,13/01/2016 23:00,2016,January,13,Wednesday,23,2,Bourke Street Mall (South)
70,14/01/2016 00:00,2016,January,14,Thursday,0,2,Bourke Street Mall (South)
95,14/01/2016 01:00,2016,January,14,Thursday,1,2,Bourke Street Mall (South)
45,14/01/2016 02:00,2016,January,14,Thursday,2,2,Bourke Street Mall (South)
31,14/01/2016 03:00,2016,January,14,Thursday,3,2,Bourke Street Mall (South)
29,14/01/2016 04:00,2016,January,14,Thursday,4,2,Bourke Street Mall (South)
26,14/01/2016 05:00,2016,January,14,Thursday,5,2,Bourke Street Mall (South)
77,14/01/2016 06:00,2016,January,14,Thursday,6,2,Bourke Street Mall (South)
207,14/01/2016 07:00,2016,January,14,Thursday,7,2,Bourke Street Mall (South)
498,14/01/2016 08:00,2016,January,14,Thursday,8,2,Bourke Street Mall (South)
736,14/01/2016 09:00,2016,January,14,Thursday,9,2,Bourke Street Mall (South)
1247,14/01/2016 10:00,2016,January,14,Thursday,10,2,Bourke Street Mall (South)
1935,14/01/2016 11:00,2016,January,14,Thursday,11,2,Bourke Street Mall (South)
3083,14/01/2016 12:00,2016,January,14,Thursday,12,2,Bourke Street Mall (South)
3642,14/01/2016 13:00,2016,January,14,Thursday,13,2,Bourke Street Mall (South)
2848,14/01/2016 14:00,2016,January,14,Thursday,14,2,Bourke Street Mall (South)
2502,14/01/2016 15:00,2016,January,14,Thursday,15,2,Bourke Street Mall (South)
