term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,102205,25063642,1406229,965593,440636,5.6,3.9,1.8,16005,15.7,3659505,687301,388951,298350,18.8,10.6,8.2,747471,71875,1497,795,45,10073,.,41099,89434,962289,53649,43380,317500,24891,439420,1401709
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_White_and_Black_African,50100,12290919,525069,384588,140481,4.3,3.1,1.1,5115,10.2,1141703,202042,120855,81187,17.7,10.6,7.1,294026,30817,6403,303,79,6290,.,11290,32575,381783,27044,12925,90903,8550,139422,521205
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_White_and_Asian,86720,21557126,929782,715092,214690,4.3,3.3,1,8590,9.9,1972819,342466,216257,126209,17.4,11,6.4,551996,54033,23050,1220,45,16828,.,11210,52282,710664,57785,15067,129986,10842,213680,924344
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,135495,33263497,1511819,1119421,392398,4.5,3.4,1.2,15060,11.1,3395941,593988,361123,232865,17.5,10.6,6.9,858921,86725,27648,1565,339,23736,.,26034,88791,1113759,85465,33014,248116,23706,390301,1504060
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Asian_Total,713990,176581624,7539692,5622415,1917277,4.3,3.2,1.1,67875,9.5,15523040,2405457,1428505,976952,15.5,9.2,6.3,4019851,401354,662859,9390,312,113758,.,57306,329426,5594256,869755,65377,879305,94647,1909084,7503340
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Indian,193650,48005524,1693312,1310962,382350,3.5,2.7,0.8,13230,6.8,2985382,453068,281175,171893,15.2,9.4,5.8,987785,100138,70409,4107,99,41410,.,6800,92792,1303540,203534,12270,146257,17658,379719,1683259
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Pakistani,288460,71496463,3505440,2511132,994308,4.9,3.5,1.4,34400,11.9,7968621,1249781,706976,542805,15.7,8.9,6.8,1730521,171836,391228,2318,83,38000,.,33940,128220,2496146,458763,32003,453318,46280,990364,3486510
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Bangladeshi,113685,28255678,1306599,997845,308754,4.6,3.5,1.1,11680,10.3,2733158,414553,257229,157324,15.2,9.4,5.8,726731,65274,135270,624,19,12074,.,9914,45315,995221,112847,12197,168106,14952,308102,1303323
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,118190,28823959,1034341,802476,231865,3.6,2.8,0.8,8565,7.2,1835879,288055,183125,104930,15.7,10,5.7,574814,64106,65952,2341,111,22274,.,6652,63099,799349,94611,8907,111624,15757,230899,1030248
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Black_Total,382795,93061371,3019360,2186767,832593,3.2,2.3,0.9,26205,6.8,5502079,958889,563285,395604,17.4,10.2,7.2,1523230,203070,124772,3159,100,32261,.,100501,194729,2181822,149436,76888,532067,72031,830422,3012244
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Black_Caribbean,80200,19612027,902646,605534,297112,4.6,3.1,1.5,9875,12.3,2247844,400173,222784,177389,17.8,9.9,7.9,440487,51583,2136,718,38,9190,.,38869,61861,604882,43023,33453,197538,22479,296493,901375
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Black_African,252435,61306890,1682074,1278226,403848,2.7,2.1,0.7,12145,4.8,2361772,400736,250392,150344,17,10.6,6.4,865550,124286,113587,2071,49,17556,.,48597,103171,1274867,83359,31053,248520,39646,402578,1677445
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_black_background,50160,12142454,434640,303007,131633,3.6,2.5,1.1,4185,8.3,892463,157980,90109,67871,17.7,10.1,7.6,217193,27201,9049,370,13,5515,.,13035,29697,302073,23054,12382,86009,9906,131351,433424
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Chinese,27700,6798091,154373,120382,33991,2.3,1.8,0.5,1005,3.6,214264,33840,19796,14044,15.8,9.2,6.6,84415,13995,702,855,148,7711,.,752,10995,119573,19257,1775,10883,1808,33723,153296
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Any_Other_Ethnic_Group,122760,29471037,1221809,871508,350301,4.1,3,1.2,11305,9.2,2350332,395527,222363,173164,16.8,9.5,7.4,602328,77941,85004,794,760,18563,.,16311,66423,868124,109151,14534,201914,22629,348228,1216352
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minority_Ethnic_Group,2085065,510071304,22130699,16045593,6085106,4.3,3.1,1.2,214395,10.3,47473654,8135919,4751111,3384808,17.1,10,7.1,11828689,1241139,970243,21261,80947,304490,.,332283,1176888,15955940,1749468,333454,3603353,368839,6055114,22011054
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Unclassified,89045,18035662,949351,678431,270920,5.3,3.8,1.5,13285,14.9,2319479,452254,267088,185166,19.5,11.5,8,510974,53110,13043,616,2101,9910,.,22450,61390,673594,41976,17390,192683,17616,269665,943259
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_1_and_below,686180,170970206,7496458,5949110,1547348,4.4,3.5,0.9,69835,10.2,16426486,2569494,1778890,790604,15.6,10.8,4.8,4880948,421609,104015,50,16787,124143,.,22039,312694,5882285,572234,137022,742583,79439,1531278,7413563
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_2,670980,167618730,6568720,5094552,1474168,3.9,3,0.9,55270,8.2,12947586,2013977,1328739,685238,15.6,10.3,5.3,4102084,372674,103834,131,17426,120696,.,27609,294666,5039120,571019,125458,692880,70111,1459468,6498588
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_3,657675,164186313,6153132,4737296,1415836,3.7,2.9,0.9,50940,7.7,11916645,1859441,1206420,653021,15.6,10.1,5.5,3771919,354125,104533,169,15503,114217,.,33833,286735,4681034,533353,121936,676923,68922,1401134,6082168
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_4,659065,164963198,6307755,4885370,1422385,3.8,3,0.9,52470,8,12344008,1931987,1272798,659189,15.7,10.3,5.3,3905911,349392,105171,165,16284,113015,.,40394,295985,4826317,522995,116485,695401,71479,1406360,6232677
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_5,631500,158411923,6141328,4798704,1342624,3.9,3,0.8,51400,8.1,12184155,1922768,1289604,633164,15.8,10.6,5.2,3834403,339530,102327,223,16963,102960,.,43496,301395,4741297,477173,100799,682132,68103,1328207,6069504
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_6,604915,153128584,6045052,4766524,1278528,3.9,3.1,0.8,50035,8.3,12078881,1923070,1315074,607996,15.9,10.9,5,3784308,346062,98985,337,14334,91787,.,49080,325128,4710021,442572,92340,664123,65086,1264121,5974142
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_7,587355,146505966,5972065,4779724,1192341,4.1,3.3,0.8,51390,8.7,12093463,2121574,1415963,705611,17.5,11.7,5.8,3865038,333529,81578,123,7203,47065,.,118434,316232,4769202,247072,27224,845087,71268,1190651,5959853
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_8,577190,143034106,6989500,5350755,1638745,4.9,3.7,1.1,67165,11.6,15700320,2909122,1850471,1058651,18.5,11.8,6.7,4172582,437684,82522,132,7620,52127,.,192144,395387,5340198,296231,47484,1204071,89029,1636815,6977013
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_9,559375,138496356,7434294,5534092,1900202,5.4,4,1.4,75065,13.4,17498747,3416690,2102158,1314532,19.5,12,7.5,4212417,503278,80610,192,6901,48979,.,232658,437842,5522877,282758,69668,1440415,105453,1898294,7421171
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_10,537125,133397205,7734049,5574777,2159272,5.8,4.2,1.6,80250,14.9,18846924,3908347,2325975,1582372,20.7,12.3,8.4,4153661,533262,77673,779,5651,42587,.,262408,482654,5558675,248941,103350,1676805,124886,2153982,7712657
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_11,524650,131747327,7672381,5326216,2346165,5.8,4,1.8,77075,14.7,18567483,4070585,2301350,1769235,21.9,12.4,9.5,3897294,526838,71384,59272,4077,26144,.,207663,520036,5312708,182805,139314,1871007,148304,2341430,7654138
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_12_and_above,555,120982,6684,3896,2788,5.5,3.2,2.3,90,15.8,16909,3196,1600,1596,18.9,9.5,9.4,2311,309,95,378,2,138,.,25,585,3843,97,125,1398,1030,2650,6493
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,NC year,NC_Year_Not_followed_or_missing,50855,1353599,269539,120464,149075,19.9,8.9,11,22740,44.7,578961,250984,106467,144517,43.4,18.4,25,42457,4470,7061,26,2336,606,.,11071,51619,119646,8933,2363,125337,10824,147457,267103
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,FSM,FSM_eligible,977025,239114645,16638841,10873958,5764883,7,4.5,2.4,208345,21.3,48732914,9509499,5285286,4224213,19.5,10.8,8.7,8167628,859537,201698,3495,28406,82475,.,457808,1002213,10803260,553670,438123,4433328,312051,5737172,16540432
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,FSM,FSM_Not_eligible,5719610,1433484083,57883971,45928434,11955537,4,3.2,0.8,472655,8.3,111893531,19141610,12904600,6237010,17.1,11.5,5.6,36416243,3658986,811029,58456,100345,801409,.,771975,2967250,45585693,3823580,643082,6759515,651059,11877236,57462929
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,FSM,FSM_unclassified,50785,1335767,268145,119088,149057,20.1,8.9,11.2,22720,44.7,574123,250126,105623,144503,43.6,18.4,25.2,41462,4239,7061,26,2336,580,.,11071,51495,118270,8933,2363,125319,10824,147439,265709
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_No_identified_SEN,5754865,1439178186,59882026,46155370,13726656,4.2,3.2,1,514965,8.9,121573695,20794223,13193643,7600580,17.1,10.9,6.3,36967340,3480633,878420,55417,91760,767388,.,700820,2880333,45822111,3790446,787587,8315350,749481,13642864,59464975
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_Statement_or_EHCP,105445,26042821,1847199,1445189,402010,7.1,5.5,1.5,21715,20.6,5121072,1108561,802275,306286,21.6,15.7,6,929829,194685,14742,1216,1572,18098,.,74397,200517,1435056,60398,28723,287207,23151,399479,1834535
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_SEN_Support,836790,207409357,12798650,9203905,3594745,6.2,4.4,1.7,144530,17.3,33945102,6752743,4195574,2557169,19.9,12.4,7.5,6687655,843284,119609,5338,35485,98400,.,454752,889292,9133815,526810,264934,2592735,190576,3575055,12708870
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,SEN provision,SEN_provision_Unclassified,50315,1304131,263082,117016,146066,20.2,9,11.2,22515,44.7,560699,245708,104017,141691,43.8,18.6,25.3,40509,4160,7017,6,2270,578,.,10885,50816,116241,8529,2324,122870,10726,144449,260690
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,First language,First_language_Known_or_believed_to_be_English,5449215,1359636092,61499878,47350079,14149799,4.5,3.5,1,576690,10.6,133768788,24405099,15734609,8670490,18.2,11.8,6.5,37586598,3790737,261006,52824,128514,693268,.,1098142,3382979,46994068,3110115,946519,9252524,752297,14061455,61055523
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,First language,First_language_Known_or_believed_to_be_other_than_English,1283870,311076149,13131682,9461998,3669684,4.2,3,1.2,124955,9.7,27053744,4423462,2520205,1903257,16.4,9.3,7,6958562,723413,754152,9098,2450,189697,.,139005,628263,9404640,1267221,134665,2031426,217391,3650703,13055343
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,First language,First_language_Unclassified,14335,3222254,159397,109403,49994,4.9,3.4,1.6,2080,14.5,378036,72674,40695,31979,19.2,10.8,8.5,80173,8612,4630,55,123,1499,.,3707,9716,108515,8847,2384,34212,4246,49689,158204
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Total,Total,3876430,963628355,38193655,29773792,8419863,4,3.1,0.9,337670,8.7,76870636,12138198,8098848,4039350,15.8,10.5,5.3,23886774,2148606,612202,1066,98746,659866,.,213456,1809030,29429746,3077426,687553,4145080,419660,8329719,37759465
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Gender,Gender_male,1976700,491150784,19685458,15363585,4321873,4,3.1,0.9,176125,8.9,40021640,6444655,4336673,2107982,16.1,10.8,5.3,12171433,1139595,313092,621,49705,330798,.,189007,992813,15187064,1552197,354126,2152440,216941,4275704,19462768
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Gender,Gender_female,1899735,472477571,18508197,14410207,4097990,3.9,3,0.9,161540,8.5,36848996,5693543,3762175,1931368,15.5,10.2,5.2,11715341,1009011,299110,445,49041,329068,.,24449,816217,14242682,1525229,333427,1992640,202719,4054015,18296697
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_White_Total,2875495,720669292,28572400,22628797,5943603,4,3.1,0.8,246160,8.6,56980089,9044088,6243649,2800439,15.9,11,4.9,18552390,1660184,45285,734,96660,481242,.,171167,1310935,22318597,2082534,510887,2972870,299327,5865618,28184215
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_British,2578575,648884582,25040159,20073109,4967050,3.9,3.1,0.8,208135,8.1,48820553,7633289,5383855,2249434,15.6,11,4.6,16538692,1493899,21631,677,29383,421468,.,160621,1127592,19793963,1814815,464772,2373768,246573,4899928,24693891
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Irish,10355,2569761,120943,89252,31691,4.7,3.5,1.2,1275,12.3,285077,51054,30246,20808,17.9,10.6,7.3,68732,6298,216,2,2812,1897,.,497,7961,88415,6080,2658,20822,1794,31354,119769
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,4340,925906,155125,83746,71379,16.8,9,7.7,2600,59.9,529012,134894,70131,64763,25.5,13.3,12.2,40231,3328,301,12,27206,530,.,1489,10267,83364,4252,4461,58837,3210,70760,154124
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Gypsy_Roma,16265,3681226,403292,225063,178229,11,6.1,4.8,6680,41.1,1419036,297703,156161,141542,21,11,10,148483,11276,235,3,35912,1545,.,3207,20386,221047,20579,8548,139734,7672,176533,397580
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_white_background,265965,64607817,2852881,2157627,695254,4.4,3.3,1.1,27470,10.3,5926411,927148,603256,323892,15.6,10.2,5.5,1756252,145383,22902,40,1347,55802,.,5353,144729,2131808,236808,30448,379709,40078,687043,2818851
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Mixed_Total,230715,56932717,2436364,1817539,618825,4.3,3.2,1.1,23960,10.4,5430581,874913,545356,329557,16.1,10,6.1,1440726,127383,36432,87,368,44798,.,17961,137745,1805500,164184,72471,344833,32926,614414,2419914
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,60535,14921253,733427,519863,213564,4.9,3.5,1.4,8095,13.4,1850998,308368,183872,124496,16.7,9.9,6.7,420232,37201,908,23,20,7445,.,9216,42259,517304,37734,30248,133013,11662,212657,729961
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_African,32225,7923795,303663,228959,74704,3.8,2.9,0.9,2790,8.7,621508,98684,62423,36261,15.9,10,5.8,180310,16920,3931,13,8,4789,.,2229,18462,226662,20399,8741,40227,4395,73762,300424
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Asian,53995,13434910,532788,414800,117988,4,3.1,0.9,4740,8.8,1084058,169654,110120,59534,15.6,10.2,5.5,325634,28023,14604,18,39,13598,.,1639,28191,411746,43494,10647,57448,5530,117119,528865
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,83955,20652759,866486,653917,212569,4.2,3.2,1,8340,9.9,1874017,298207,188941,109266,15.9,10.1,5.8,514550,45239,16989,33,301,18966,.,4877,48833,649788,62557,22835,114145,11339,210876,860664
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Asian_Total,416165,102504550,4411076,3288088,1122988,4.3,3.2,1.1,41275,9.9,9385662,1392798,818494,574304,14.8,8.7,6.1,2405931,197729,396806,131,209,84681,.,4316,186065,3275868,619682,40147,420563,39036,1119428,4395296
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Indian,114710,28216750,1022675,776828,245847,3.6,2.8,0.9,8565,7.5,1904312,276369,166632,109737,14.5,8.8,5.8,595152,47533,43942,48,72,31792,.,407,55415,774361,152615,7789,76265,8568,245237,1019598
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Pakistani,166635,41302736,1995716,1431276,564440,4.8,3.5,1.4,19985,12,4635366,695281,384118,311163,15,8.3,6.7,1011230,85507,230692,31,50,27727,.,2909,66757,1424903,317925,19771,207717,17143,562556,1987459
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Bangladeshi,64225,15867044,761975,592184,169791,4.8,3.7,1.1,7280,11.3,1693858,247096,157080,90016,14.6,9.3,5.3,443101,32452,80244,15,6,8287,.,468,25921,590494,79438,6913,77181,5710,169242,759736
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,70595,17118020,630710,487800,142910,3.7,2.8,0.8,5445,7.7,1152126,174052,110664,63388,15.1,9.6,5.5,356448,32237,41928,37,81,16875,.,532,37972,486110,69704,5674,59400,7615,142393,628503
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Black_Total,222065,53958942,1617890,1190930,426960,3,2.2,0.8,13630,6.1,2781290,453835,268600,185235,16.3,9.7,6.7,868998,96480,75923,78,65,22751,.,16211,107049,1187555,97173,45379,251806,31197,425555,1613110
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Black_Caribbean,41495,10200384,425059,286081,138978,4.2,2.8,1.4,4590,11.1,1042760,168140,92876,75264,16.1,8.9,7.2,223261,21180,1166,17,20,5785,.,6053,28326,285808,26263,20787,82946,8798,138794,424602
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Black_African,150445,36455870,948207,731013,217194,2.6,2,0.6,6745,4.5,1256537,205221,128699,76522,16.3,10.2,6.1,516232,61499,68728,46,35,12813,.,7441,61678,728472,55759,16954,126006,17460,216179,944651
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_black_background,30130,7302688,244624,173836,70788,3.3,2.4,1,2295,7.6,481993,80474,47025,33449,16.7,9.8,6.9,129505,13801,6029,15,10,4153,.,2717,17045,173275,15151,7638,42854,4939,70582,243857
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Chinese,17645,4297989,102658,78888,23770,2.4,1.8,0.6,700,4,146354,21672,12361,9311,14.8,8.4,6.4,55694,8309,439,15,147,6317,.,144,7214,78279,15520,1379,5629,1020,23548,101827
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Any_Other_Ethnic_Group,74285,17780078,716739,517352,199387,4,2.9,1.1,6690,9,1359017,215997,124448,91549,15.9,9.2,6.7,367273,40736,51689,16,199,13717,.,1800,39381,514811,76285,9135,101798,10492,197710,712521
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minority_Ethnic_Group,1257795,307258986,12816968,9448485,3368483,4.2,3.1,1.1,124280,9.9,27262440,4370014,2629053,1740961,16,9.6,6.4,7152320,636922,584943,384,68265,232038,.,50978,660797,9386647,1240563,214626,1723731,167425,3346345,12732992
Autumn and spring term,201617,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Unclassified,40065,7484787,336528,252198,84330,4.5,3.4,1.1,5255,13.1,787643,134895,85940,48955,17.1,10.9,6.2,195762,17785,5628,5,1098,6360,.,1857,20641,249136,22048,8155,47581,5662,83446,332582
Autumn and spring term,201617,National,E92000001,England,State-funded primary,NC year,NC_Year_1_and_below,677185,168806359,7394589,5871512,1523077,4.4,3.5,0.9,68795,10.2,16187219,2531203,1753978,777225,15.6,10.8,4.8,4819263,416459,101770,50,16775,122986,.,21681,307658,5806642,565075,135706,728906,77609,1507296,7313938
Autumn and spring term,201617,National,E92000001,England,State-funded primary,NC year,NC_Year_2,663265,165746517,6489909,5037075,1452834,3.9,3,0.9,54505,8.2,12770899,1985968,1311597,674371,15.6,10.3,5.3,4057584,368768,101939,130,17425,119885,.,26952,290205,4982888,564922,124150,680998,68322,1438392,6421280
Autumn and spring term,201617,National,E92000001,England,State-funded primary,NC year,NC_Year_3,650860,162536198,6086542,4688239,1398303,3.7,2.9,0.9,50315,7.7,11775906,1837318,1192613,644705,15.6,10.1,5.5,3734243,350664,102632,168,15431,113647,.,33258,283326,4633369,528158,120882,667249,67632,1383921,6017290
Autumn and spring term,201617,National,E92000001,England,State-funded primary,NC year,NC_Year_4,652700,163418233,6244853,4840028,1404825,3.8,3,0.9,51910,8,12212996,1911276,1260780,650496,15.6,10.3,5.3,3870992,346324,103322,164,16192,112413,.,39960,293124,4782491,517623,115560,685728,70192,1389103,6171594
